TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,TotalEnrollments,AvgCourseRating,RatingTier
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,36,2.8536111111111113,Low-Rated (≤3.5)
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,68,3.708823529411765,High-Rated (>4.0)
TC00003,Amber Torres,32,Male,Design,4,1.56,59,3.107627118644068,Low-Rated (≤3.5)
TC00004,Kristi Scott,34,Female,Machine Learning,9,4.39,47,2.54936170212766,High-Rated (>4.0)
TC00005,David Williams,34,Male,Finance,2,3.11,47,2.7897872340425534,Low-Rated (≤3.5)
TC00006,Rebecca Webb,49,Male,Cybersecurity,14,3.36,48,3.2183333333333333,Low-Rated (≤3.5)
TC00007,Angela Beard,28,Female,Machine Learning,6,4.36,49,2.5108163265306125,High-Rated (>4.0)
TC00008,Steven Walker,41,Male,Data Science,15,3.54,133,3.267218045112782,Mid-Rated (3.5-4.0)
TC00009,Alexander Tucker,49,Female,Project Management,2,2.22,58,3.1743103448275862,Low-Rated (≤3.5)
TC00010,Frances Sanchez,29,Male,Data Science,1,2.18,81,3.3350617283950617,Low-Rated (≤3.5)
TC00011,Carol Edwards,37,Female,Artificial Intelligence,8,3.55,46,2.9563043478260873,Mid-Rated (3.5-4.0)
TC00012,Christopher Nelson,48,Female,Cybersecurity,2,3.85,26,3.428846153846154,Mid-Rated (3.5-4.0)
TC00013,Brian Carrillo,35,Female,Digital Marketing,6,3.42,23,3.4460869565217394,Low-Rated (≤3.5)
TC00014,Susan Randolph,49,Male,Project Management,3,2.45,57,3.0985964912280703,Low-Rated (≤3.5)
TC00015,John Armstrong,43,Male,Data Science,7,3.07,61,3.273606557377049,Low-Rated (≤3.5)
TC00016,David Carlson,33,Male,Data Science,1,2.92,108,3.286388888888889,Low-Rated (≤3.5)
TC00017,Brian Perez,36,Male,Digital Marketing,4,2.33,51,3.5337254901960784,Low-Rated (≤3.5)
TC00018,Kari Pierce,47,Female,Project Management,11,4.28,93,3.246236559139785,High-Rated (>4.0)
TC00019,Tommy Haynes,35,Male,Digital Marketing,8,3.4,35,3.3271428571428574,Low-Rated (≤3.5)
TC00020,Tara Reynolds,44,Female,Digital Marketing,10,3.23,25,3.8680000000000003,Low-Rated (≤3.5)
